Pays,Clics,Impressions,CTR,Position
République démocratique du Congo,35,5312,0.66%,7.3
Congo-Brazzaville,4,87,4.6%,7.64
France,2,124,1.61%,8.36
États-Unis,1,344,0.29%,4.98
Belgique,1,49,2.04%,9.31
Bénin,1,15,6.67%,10.13
Italie,1,6,16.67%,6.33
Burundi,1,4,25%,5
Pays-Bas,0,66,0%,6.36
Allemagne,0,62,0%,7.53
Canada,0,60,0%,9.08
Royaume-Uni,0,26,0%,7.42
Espagne,0,17,0%,7.12
Ouganda,0,15,0%,8.47
Cameroun,0,13,0%,10.15
Suisse,0,12,0%,6.83
Togo,0,10,0%,5.3
Égypte,0,7,0%,7.71
Algérie,0,7,0%,9.29
Émirats Arabes Unis,0,6,0%,6.33
Maroc,0,6,0%,8.67
Tanzanie,0,6,0%,8.67
Qatar,0,5,0%,8.4
Afrique du Sud,0,4,0%,5.25
Érythrée,0,4,0%,7
Biélorussie,0,4,0%,7.5
Tunisie,0,4,0%,8.5
Finlande,0,4,0%,9
Turquie,0,4,0%,9.5
Côte d'Ivoire,0,4,0%,9.75
Angola,0,3,0%,7
Inde,0,3,0%,9
Kenya,0,3,0%,10
Chypre,0,3,0%,11
Russie,0,2,0%,3.5
Ukraine,0,2,0%,3.5
République Dominicaine,0,2,0%,4.5
Nigéria,0,2,0%,6
Rwanda,0,2,0%,6.5
Brésil,0,2,0%,8
Suède,0,2,0%,8
Burkina Faso,0,2,0%,8.5
Zambie,0,2,0%,8.5
Chine,0,2,0%,9
Pérou,0,2,0%,9
Sénégal,0,2,0%,9.5
Portugal,0,2,0%,10
Mali,0,2,0%,10.5
Mexique,0,2,0%,11.5
Guatemala,0,1,0%,1
Singapour,0,1,0%,1
Madagascar,0,1,0%,3
Namibie,0,1,0%,4
Lituanie,0,1,0%,5
Moldavie,0,1,0%,5
Monténégro,0,1,0%,6
Indonésie,0,1,0%,8
Corée du Sud,0,1,0%,8
Monaco,0,1,0%,8
Serbie,0,1,0%,8
Japon,0,1,0%,9
Andorre,0,1,0%,10
Guinée,0,1,0%,10
Réunion (Île de la),0,1,0%,10
Tchad,0,1,0%,10
Palestine,0,1,0%,11
République tchèque,0,1,0%,12
Haïti,0,1,0%,12
Irlande,0,1,0%,12
Vietnam,0,1,0%,12
