Pays,Clics,Impressions,CTR,Position
République démocratique du Congo,37,7511,0.49%,6.77
Congo-Brazzaville,5,97,5.15%,7.29
France,2,157,1.27%,8.15
Belgique,1,61,1.64%,9.38
Espagne,1,20,5%,7.1
Bénin,1,14,7.14%,10.07
Italie,1,11,9.09%,6.09
Burundi,1,5,20%,6.2
Kenya,1,4,25%,5
États-Unis,0,616,0%,5.16
Pays-Bas,0,117,0%,5.77
Allemagne,0,89,0%,6.93
Canada,0,67,0%,8.7
Royaume-Uni,0,44,0%,7
Cameroun,0,18,0%,8.89
Ouganda,0,16,0%,7.94
Russie,0,12,0%,6
Suisse,0,11,0%,6.82
Égypte,0,8,0%,7.38
Tanzanie,0,8,0%,7.5
Algérie,0,8,0%,8.75
Afrique du Sud,0,6,0%,5.5
Émirats Arabes Unis,0,6,0%,6.33
Qatar,0,5,0%,8.4
Érythrée,0,4,0%,7
Biélorussie,0,4,0%,7.5
Maroc,0,4,0%,7.5
Angola,0,4,0%,8
Togo,0,4,0%,8.25
Finlande,0,4,0%,9
Côte d'Ivoire,0,4,0%,9.75
Chypre,0,3,0%,11
Nigéria,0,2,0%,6
Rwanda,0,2,0%,6.5
Brésil,0,2,0%,8
Suède,0,2,0%,8
Burkina Faso,0,2,0%,8.5
Hongrie,0,2,0%,8.5
Zambie,0,2,0%,8.5
Pérou,0,2,0%,9
Tunisie,0,2,0%,9
Sénégal,0,2,0%,9.5
Inde,0,2,0%,10
Portugal,0,2,0%,10
Mexique,0,2,0%,10.5
Mali,0,2,0%,10.5
Turquie,0,2,0%,12
Croatie,0,1,0%,3
Madagascar,0,1,0%,3
Moldavie,0,1,0%,5
Autriche,0,1,0%,6
Roumanie,0,1,0%,6
Malaisie,0,1,0%,7
République Dominicaine,0,1,0%,8
Indonésie,0,1,0%,8
Monaco,0,1,0%,8
Serbie,0,1,0%,8
Japon,0,1,0%,9
Andorre,0,1,0%,10
République Centrafricaine,0,1,0%,10
Guinée,0,1,0%,10
Réunion (Île de la),0,1,0%,10
Tchad,0,1,0%,10
Chine,0,1,0%,11
Grèce,0,1,0%,11
Israël,0,1,0%,11
Maurice (Île),0,1,0%,11
Palestine,0,1,0%,11
République tchèque,0,1,0%,12
Haïti,0,1,0%,12
Irlande,0,1,0%,12
Vietnam,0,1,0%,12
